id,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
N  82,3966.6582,3901.7056,3728.2573,3809.2324,3886.9153,3923.0508,,,,,,,,,,,,
N  83,3142.163,3200.096,3327.6157,3364.0732,3480.1438,3410.6396,,,,,,,,,,,,
N  84,5478.45,5790.168,6219.14,6340.8584,7017.227,6782.884,,,,,,,,,,,,
N  85,6654.431,6831.14,7142.3115,7245.4263,7626.9683,7471.524,,,,,,,,,,,,
N  86,7647.84,7742.641,7650.42,7800.207,8277.068,8196.283,,,,,,,,,,,,
N  87,2368.6235,2262.767,2230.3357,2287.7798,2244.4739,2254.5618,,,,,,,,,,,,
N  88,3908.5896,4109.045,4361.8184,4422.6406,4831.1943,4678.7876,,,,,,,,,,,,
N  89,5683.7417,5881.8794,6192.44,6273.066,6665.718,6497.9585,,,,,,,,,,,,
N  90,8414.219,8657.847,8986.638,9089.702,9571.707,9354.313,,,,,,,,,,,,
N  91,3966.3257,4153.6187,4390.4707,4451.383,4835.3257,4694.1494,,,,,,,,,,,,
N  92,4158.908,4329.437,4579.319,4635.663,4970.5234,4830.5786,,,,,,,,,,,,
N  93,4132.672,4338.502,4587.6777,4667.46,5112.729,4961.9824,,,,,,,,,,,,
N  94,9805.832,9988.697,9958.996,10119.387,10743.6,10564.978,,,,,,,,,,,,
N  95,2830.205,2783.6611,2719.3462,2736.3652,2684.9639,2666.263,,,,,,,,,,,,
N  96,7348.483,7470.3496,7635.6,7653.565,7785.3047,7610.188,,,,,,,,,,,,
N  97,4161.0845,4207.6655,4328.5103,4367.094,4462.771,4382.8906,,,,,,,,,,,,
N  98,2499.3477,2558.0479,2677.9607,2707.539,2828.6985,2764.1377,,,,,,,,,,,,
N  99,3691.3281,3590.0376,3539.4324,3605.0547,3526.1992,3519.779,,,,,,,,,,,,
N 100,2462.961,2422.731,2375.1658,2395.3242,2362.1338,2357.76,,,,,,,,,,,,
N 101,5642.037,5681.501,5732.552,5733.709,5696.655,5592.643,,,,,,,,,,,,
N 102,2093.463,2085.3975,2059.8992,2077.1348,2088.4353,2071.2341,,,,,,,,,,,,
N 103,4606.4214,4502.41,4663.633,4840.403,4927.481,4895.1543,,,,,,,,,,,,
N 104,4528.604,4473.341,4312.5303,4378.8853,4433.4585,4426.1265,,,,,,,,,,,,
N 105,7435.294,7619.3003,7884.02,7925.0938,8206.32,8013.4155,,,,,,,,,,,,
N 106,4898.474,4970.1562,5047.662,5066.275,5165.7,5061.0605,,,,,,,,,,,,
N 107,1161.6488,1187.9829,1262.7195,1175.8949,1274.8726,1203.5447,,,,,,,,,,,,
N 108,5478.064,5576.5527,5773.6465,5821.767,6019.243,5904.301,,,,,,,,,,,,
N 109,3438.4688,3471.323,3382.3037,3304.9219,3133.0554,3032.5066,,,,,,,,,,,,
N 110,5244.709,5462.785,5811.412,5898.4224,6352.3506,6176.0557,,,,,,,,,,,,
N 111,8186.8438,8214.859,8375.465,8450.523,8533.58,8378.931,,,,,,,,,,,,
N 112,8271.544,8675.185,9144.568,9257.036,10063.096,9746.5205,,,,,,,,,,,,
N 113,23652.55,21952.371,19023.66,20161.238,20878.93,22098.502,,,,,,,,,,,,
N 114,3987.9893,3990.8203,3854.4146,3967.2783,4233.281,4220.1724,,,,,,,,,,,,
N 115,2747.475,2906.2278,3087.6765,3147.8882,3498.237,3386.9353,,,,,,,,,,,,
N 116,4658.9062,4503.724,4409.2886,4483.8984,4433.9585,4488.6475,,,,,,,,,,,,
N 117,8853.8,8974.502,8886.983,9062.784,9637.454,9528.6875,,,,,,,,,,,,
N 118,6661.8877,5878.8247,4944.6406,5073.497,4881.748,5289.5205,,,,,,,,,,,,
N 119,6946.607,7104.581,7257.354,7240.7437,7457.458,7250.597,,,,,,,,,,,,
N 120,7052.018,7225.552,7232.937,7422.2837,8112.1543,7991.2383,,,,,,,,,,,,
N 121,2962.2393,3041.438,3136.8792,3146.75,3260.4956,3170.699,,,,,,,,,,,,
N 122,8574.572,8991.223,9663.64,9834.028,10737.261,10406.12,,,,,,,,,,,,
N 123,4591.0703,4099.404,3539.6172,3709.8516,3602.7202,3882.6382,,,,,,,,,,,,
N 124,5701.8965,5959.4697,6296.9805,6380.701,6927.4985,6687.2427,,,,,,,,,,,,
N 125,4069.392,3825.2188,3669.3887,3723.267,3612.5608,3714.3218,,,,,,,,,,,,
N 126,4142.8096,4338.7583,4601.2554,4656.5073,5037.889,4878.7524,,,,,,,,,,,,
N 127,7854.5312,7174.654,6138.783,6400.7188,6381.701,6788.4604,,,,,,,,,,,,
N 128,8374.863,8240.398,7854.985,8059.7695,8320.41,8404.901,,,,,,,,,,,,
N 129,5472.9062,5015.605,4405.0103,4501.9297,4390.2207,4589.514,,,,,,,,,,,,
N 130,4601.911,4606.7485,4493.5312,4539.466,4666.6816,4615.541,,,,,,,,,,,,
N 131,3958.8926,4182.5386,4428.855,4512.299,5011.145,4850.758,,,,,,,,,,,,
N 132,7972.7236,8329.239,8849.028,8971.541,9707.883,9414.715,,,,,,,,,,,,
N 133,8282.472,8581.669,9003.079,9085.795,9654.967,9379.948,,,,,,,,,,,,
N 134,7859.25,8331.093,8933.43,9089.148,10090.225,9757.008,,,,,,,,,,,,
N 135,6030.278,6046.56,6047.7764,6025.52,5917.49,5791.0654,,,,,,,,,,,,
N 136,3866.2627,3950.965,3986.3079,3907.8408,3858.9348,3703.722,,,,,,,,,,,,
N 137,3132.6157,2893.2302,2646.6218,2659.0063,2578.6357,2691.0315,,,,,,,,,,,,
N 138,5400.0576,5432.4497,5460.554,5436.159,5390.368,5289.811,,,,,,,,,,,,
N 139,3629.8223,3518.1064,3518.3687,3627.998,3703.622,3705.5933,,,,,,,,,,,,
N 140,3804.4812,3998.8047,4197.122,4279.6533,4731.993,4599.327,,,,,,,,,,,,
N 141,8351.418,8761.812,9300.904,9439.261,10289.962,9983.552,,,,,,,,,,,,
N 142,6187.414,6265.388,6358.789,6377.7734,6460.795,6315.5264,,,,,,,,,,,,
N 143,7083.453,7412.365,7924.132,8059.363,8782.996,8512.55,,,,,,,,,,,,
N 144,2874.211,2795.4363,2710.1433,2745.1523,2718.784,2737.5688,,,,,,,,,,,,
N 145,3505.1514,3599.8484,3636.1694,3693.7842,3961.8154,3878.0623,,,,,,,,,,,,
N 146,4104.2627,3996.1514,3799.9067,3870.4424,3868.7437,3903.527,,,,,,,,,,,,
N 147,2257.078,2245.0122,2076.0613,2013.9255,1928.152,1885.1803,,,,,,,,,,,,
N 148,1876.9211,1883.4875,1784.4147,1733.9797,1682.0911,1634.3824,,,,,,,,,,,,
N 149,2660.339,2661.3855,2565.1245,2509.9329,2411.1467,2368.2346,,,,,,,,,,,,
N 150,4544.5527,4637.6133,4618.686,4531.209,4448.3926,4258.8027,,,,,,,,,,,,
N 151,2678.8438,2509.188,2441.1743,2527.875,2461.1484,2490.7358,,,,,,,,,,,,
N 152,7276.8804,7203.7466,7057.47,7067.888,6926.9507,6829.339,,,,,,,,,,,,
N 153,6259.091,6216.046,6211.0415,6153.841,6026.3145,5941.4478,,,,,,,,,,,,
N 154,2179.9258,2115.0989,2110.358,2188.8164,2159.129,2103.5808,,,,,,,,,,,,
N 155,3527.9084,3475.142,3555.277,3630.5056,3596.0583,3500.8213,,,,,,,,,,,,
N 156,8599.545,8945.433,9349.6875,9437.418,10077.259,9788.674,,,,,,,,,,,,
N 157,6904.712,7186.1313,7519.16,7589.1934,8110.769,7875.2983,,,,,,,,,,,,
N 158,6879.0312,7112.32,7440.1406,7499.1562,7913.712,7698.913,,,,,,,,,,,,
N 159,8439.797,8737.688,9061.378,9152.581,9716.865,9470.231,,,,,,,,,,,,
N 160,6687.6875,6832.1133,7013.231,6999.881,7159.1855,6958.8667,,,,,,,,,,,,
N 161,9448.031,9656.388,9948.837,10007.006,10320.232,10089.321,,,,,,,,,,,,
N 162,5262.7344,5011.5757,4760.603,4872.828,4799.9385,4943.068,,,,,,,,,,,,
N 163,4819.619,4821.7993,4819.645,4784.8223,4692.4053,4569.049,,,,,,,,,,,,
N 164,5223.4883,5230.7603,5274.9043,5304.837,5256.051,5169.578,,,,,,,,,,,,
N 165,5085.0757,5105.4756,5176.1313,5207.5874,5197.4575,5111.0786,,,,,,,,,,,,
N 166,918.25,937.8513,893.87305,784.0703,804.9705,764.7899,,,,,,,,,,,,
N 167,4672.706,4678.5845,4708.001,4717.0107,4633.8906,4551.7593,,,,,,,,,,,,
N 168,9157.8125,9586.218,10132.912,10243.103,11069.522,10728.272,,,,,,,,,,,,
N 169,8778.879,9148.539,9618.481,9713.25,10403.899,10102.971,,,,,,,,,,,,
N 170,5611.0,5476.515,5309.7266,5386.3906,5305.7656,5320.0884,,,,,,,,,,,,
N 171,4977.2656,4873.8765,4731.701,4801.9688,4755.794,4768.585,,,,,,,,,,,,
N 172,7287.4937,7666.2275,8117.272,8236.433,9019.933,8738.652,,,,,,,,,,,,
N 173,6116.5283,6411.305,6766.7603,6857.4688,7455.326,7230.3623,,,,,,,,,,,,
N 174,5820.556,6128.6777,6506.812,6603.8027,7240.9497,7014.45,,,,,,,,,,,,
N 175,9787.725,10302.002,10899.874,11065.123,12138.146,11755.437,,,,,,,,,,,,
N 176,6527.7188,6865.0654,7271.1704,7380.863,8081.4116,7832.3013,,,,,,,,,,,,
N 177,8507.594,8715.479,8955.503,9051.172,9498.606,9245.469,,,,,,,,,,,,
N 178,5965.254,5896.0654,5876.0317,5835.582,5709.711,5617.274,,,,,,,,,,,,
N 179,5623.889,5680.123,5698.7993,5682.81,5751.499,5648.7656,,,,,,,,,,,,
N 180,2706.5234,2744.7202,2773.8918,2758.1582,2769.7632,2706.699,,,,,,,,,,,,
N 181,5961.3154,6217.628,6629.4917,6742.376,7291.825,7089.1196,,,,,,,,,,,,
N 182,7420.1,7814.0884,8404.121,8561.725,9420.271,9117.021,,,,,,,,,,,,
N 183,5747.878,5999.687,6409.5156,6523.1294,7070.1914,6871.7803,,,,,,,,,,,,
N 184,11531.981,12115.656,12934.872,13141.9,14382.421,13938.659,,,,,,,,,,,,
N 185,14424.45,15258.489,16371.412,16638.373,18396.752,17784.336,,,,,,,,,,,,
N 186,8054.397,8433.984,9004.46,9160.538,9976.456,9687.799,,,,,,,,,,,,
N 187,10535.65,11161.279,12022.113,12239.46,13577.377,13123.727,,,,,,,,,,,,
N 188,3298.8306,3417.7983,3616.331,3680.2856,3945.6553,3846.8235,,,,,,,,,,,,
N 189,7541.3125,7773.352,8220.526,8377.59,8947.392,8735.586,,,,,,,,,,,,
N 190,5379.3125,5690.5146,6052.1816,6147.9395,6809.8867,6582.488,,,,,,,,,,,,
N 191,9390.906,9805.445,10501.741,10693.762,11591.464,11266.93,,,,,,,,,,,,
N 192,1156.625,1194.812,1172.299,1032.6562,1060.3076,965.69946,,,,,,,,,,,,
N 193,780.62384,764.25903,805.3235,752.4129,780.906,742.8689,,,,,,,,,,,,
N 194,3296.1445,3321.9768,3264.6143,3206.2734,3121.2803,3042.763,,,,,,,,,,,,
N 195,9209.632,9017.521,8591.647,8657.819,8551.464,8549.513,,,,,,,,,,,,
N 196,3778.7478,3804.2908,3728.0024,3633.0916,3552.927,3463.8083,,,,,,,,,,,,
N 197,4984.5625,5128.2773,5300.7896,5316.629,5536.2617,5383.4404,,,,,,,,,,,,
N 198,4260.2344,4260.62,4241.9297,4227.703,4150.125,4069.5515,,,,,,,,,,,,
N 199,2977.4873,2867.105,2784.044,2794.9482,2719.4019,2738.8215,,,,,,,,,,,,
N 200,2435.8984,2363.861,2326.372,2346.754,2279.9075,2255.0215,,,,,,,,,,,,
N 201,841.0029,837.5278,841.3335,847.4971,832.27545,807.3269,,,,,,,,,,,,
N 202,7406.9414,7256.5215,7066.88,7099.082,6950.103,6925.3154,,,,,,,,,,,,
N 203,6905.625,7132.66,7449.2666,7497.14,7883.8843,7661.0874,,,,,,,,,,,,
N 204,8534.943,8607.796,8629.724,8560.706,8410.217,8159.146,,,,,,,,,,,,
N 205,1847.7759,1814.3292,1841.6979,1860.6655,1810.8845,1740.6759,,,,,,,,,,,,
N 206,5997.414,6081.221,6147.173,6112.2695,6111.2705,5949.3335,,,,,,,,,,,,
N 207,4724.871,4915.0845,5237.995,5329.801,5776.264,5604.0405,,,,,,,,,,,,
N 208,5289.6567,5320.36,5339.6245,5300.881,5213.6533,5088.6084,,,,,,,,,,,,
N 209,2087.737,2109.0693,2057.5066,1944.8777,1933.9445,1874.487,,,,,,,,,,,,
N 210,7811.9062,8033.7026,8279.55,8299.227,8625.545,8386.005,,,,,,,,,,,,
N 211,8854.648,9015.756,9189.329,9171.611,9283.681,9047.695,,,,,,,,,,,,
N 212,5550.545,5582.4917,5524.0103,5421.9277,5302.8965,5160.896,,,,,,,,,,,,
N 213,4841.9746,4877.798,4901.6895,4860.496,4785.0547,4662.21,,,,,,,,,,,,
N 214,3033.2153,3053.0078,2993.8484,2887.395,2838.0764,2752.7476,,,,,,,,,,,,
N 215,2775.2344,2817.9473,2794.3137,2640.1094,2654.5137,2577.503,,,,,,,,,,,,
N 216,5009.125,5130.902,5246.444,5256.367,5439.563,5294.725,,,,,,,,,,,,
N 217,6854.836,6645.1157,6439.543,6508.7734,6348.0044,6363.176,,,,,,,,,,,,
N 218,7047.4805,6833.338,6625.5728,6697.449,6531.3154,6545.0195,,,,,,,,,,,,
N 219,5384.765,5385.1006,5434.7754,5440.363,5367.063,5259.454,,,,,,,,,,,,
N 220,2020.9688,1856.8286,1832.451,1913.9375,1837.0359,1810.033,,,,,,,,,,,,
N 221,1655.2797,1671.0806,1649.4012,1608.7094,1583.3318,1542.8287,,,,,,,,,,,,
N 222,5234.876,5225.8955,5247.985,5254.1104,5190.172,5089.615,,,,,,,,,,,,
N 223,2538.4102,2545.8472,2594.4714,2567.4414,2551.623,2476.0847,,,,,,,,,,,,
N 224,6698.988,6764.368,6835.1533,6763.558,6704.9893,6545.865,,,,,,,,,,,,
N 225,7714.2646,7747.43,7769.563,7756.085,7616.204,7456.143,,,,,,,,,,,,
N 226,7594.763,7694.834,7782.465,7735.697,7722.618,7518.953,,,,,,,,,,,,
N 227,6999.2217,7090.855,7175.2886,7102.417,7093.294,6914.9243,,,,,,,,,,,,
N 228,6838.5693,6862.8535,6914.592,6909.915,6795.1655,6663.7773,,,,,,,,,,,,
N 229,3406.0156,3450.8022,3458.339,3364.2188,3340.231,3238.9976,,,,,,,,,,,,
N 230,2248.052,2269.408,2272.3018,2225.056,2202.3872,2132.487,,,,,,,,,,,,
N 231,6432.0938,6306.3496,6144.0044,6274.7812,6339.896,6353.371,,,,,,,,,,,,
N 232,5223.297,5113.213,4922.1753,4963.6094,4872.3403,4856.8955,,,,,,,,,,,,
N 233,4939.8545,4885.532,4788.05,4804.331,4713.8027,4660.3677,,,,,,,,,,,,
N 234,6577.1855,6578.033,6582.781,6537.5996,6412.7725,6271.785,,,,,,,,,,,,
N 235,3476.4995,3485.9458,3501.7278,3465.526,3414.9187,3327.463,,,,,,,,,,,,
N 236,4804.4336,4774.426,4712.2383,4723.84,4646.407,4595.6787,,,,,,,,,,,,
N 237,2611.898,2625.8203,2636.2239,2598.6333,2558.372,2486.2605,,,,,,,,,,,,
N 238,3768.752,3801.0234,3756.6658,3651.5176,3595.1023,3501.0808,,,,,,,,,,,,
N 239,3805.688,3809.5994,3811.472,3788.7583,3726.5332,3658.0735,,,,,,,,,,,,
N 240,6681.383,6736.265,6782.1465,6696.758,6615.952,6439.988,,,,,,,,,,,,
N 241,3600.8516,3426.2788,3174.7888,3226.4219,3150.4365,3197.8813,,,,,,,,,,,,
N 242,3868.6895,3768.8157,3693.6963,3695.4238,3587.1392,3581.8804,,,,,,,,,,,,
N 243,6721.9316,6774.359,6879.2603,6962.951,7125.629,7031.5273,,,,,,,,,,,,
N 244,7526.787,7518.31,7587.759,7731.3228,7870.0063,7780.8257,,,,,,,,,,,,
N 245,2039.1245,2066.5332,2097.5469,2036.02,2044.3151,1986.1147,,,,,,,,,,,,
N 246,3973.8398,3978.688,3930.6475,3820.4336,3743.3794,3661.4287,,,,,,,,,,,,
N 247,5700.5234,5688.5254,5658.574,5615.0234,5491.241,5338.1294,,,,,,,,,,,,
N 248,5274.1875,5400.2607,5512.27,5493.3984,5656.1943,5494.285,,,,,,,,,,,,
N 249,5218.625,5351.4336,5520.7734,5534.6895,5723.2666,5568.654,,,,,,,,,,,,
N 250,5108.414,5210.7607,5337.4727,5338.204,5444.2627,5303.7485,,,,,,,,,,,,
N 251,5292.625,5424.748,5590.5815,5606.04,5791.7666,5638.197,,,,,,,,,,,,
N 252,5187.4844,5295.965,5430.95,5433.7666,5552.314,5409.0303,,,,,,,,,,,,
N 253,5156.211,5255.2754,5372.706,5371.9688,5466.624,5326.5674,,,,,,,,,,,,
N 254,5057.0938,5157.2017,5293.559,5304.0464,5422.57,5289.2407,,,,,,,,,,,,
N 255,5223.578,5334.591,5481.2925,5492.1406,5629.3765,5486.5938,,,,,,,,,,,,
N 256,5297.1562,5448.9067,5655.0737,5681.579,5922.272,5762.8623,,,,,,,,,,,,
N 257,5136.328,5230.7075,5337.7515,5334.7256,5415.2744,5277.1514,,,,,,,,,,,,
N 258,5377.9375,5528.8403,5724.466,5749.4917,5985.0234,5824.2427,,,,,,,,,,,,
N 259,5177.75,5288.108,5414.3706,5411.803,5531.877,5382.253,,,,,,,,,,,,
N 260,5204.4375,5313.6787,5436.012,5433.657,5553.451,5403.779,,,,,,,,,,,,
N 261,5284.25,5400.955,5526.705,5526.8105,5655.9976,5504.903,,,,,,,,,,,,
N 262,5246.2344,5369.072,5517.8857,5526.8916,5681.925,5531.732,,,,,,,,,,,,
N 263,5193.3438,5327.246,5502.2104,5515.9673,5707.4766,5552.612,,,,,,,,,,,,
N 264,5149.953,5260.576,5394.54,5395.4116,5517.426,5371.694,,,,,,,,,,,,
N 265,5342.0938,5473.1777,5628.2734,5640.95,5820.085,5664.654,,,,,,,,,,,,
N 266,5284.3125,5405.434,5555.5522,5562.653,5711.8647,5562.091,,,,,,,,,,,,
N 267,5197.914,5289.0864,5390.3247,5386.1934,5457.346,5320.1523,,,,,,,,,,,,
N 268,5087.703,5202.8174,5357.2295,5370.7114,5520.2344,5380.208,,,,,,,,,,,,
N 269,5283.0156,5404.2793,5569.788,5586.6724,5754.0127,5606.823,,,,,,,,,,,,
N 270,5308.25,5450.2935,5640.698,5661.2607,5871.9824,5716.1167,,,,,,,,,,,,
N 271,5157.3984,5234.502,5314.909,5308.379,5347.9907,5220.374,,,,,,,,,,,,
N 272,5434.4062,5579.188,5734.537,5751.3584,5965.1006,5801.0723,,,,,,,,,,,,
N 273,5245.5,5328.718,5379.3994,5363.051,5400.5,5254.959,,,,,,,,,,,,
N 274,5184.5703,5286.6406,5400.083,5394.753,5489.5566,5344.99,,,,,,,,,,,,
N 275,5439.328,5575.3384,5731.355,5739.6543,5921.458,5760.9297,,,,,,,,,,,,
N 276,5313.5625,5451.9263,5621.3525,5635.507,5829.9214,5672.736,,,,,,,,,,,,
N 277,5389.125,5542.442,5735.3003,5756.6553,5993.7007,5830.0093,,,,,,,,,,,,
N 278,5148.875,5259.45,5403.38,5408.5464,5536.496,5393.5835,,,,,,,,,,,,
N 279,5152.0938,5267.2676,5407.4976,5409.8247,5544.3506,5396.4937,,,,,,,,,,,,
N 280,5177.9062,5299.8545,5463.863,5475.335,5634.956,5487.881,,,,,,,,,,,,
N 281,5177.953,5280.257,5402.3086,5400.8755,5503.4917,5360.696,,,,,,,,,,,,
N 282,5144.3438,5283.102,5479.464,5508.077,5725.5264,5577.288,,,,,,,,,,,,
N 283,5241.297,5373.091,5540.379,5551.3516,5730.7373,5576.734,,,,,,,,,,,,
